transaction_id,portfolio_id,instrument_id,counterparty_id,trade_dt,settlement_dt,transaction_type,quantity,price,gross_amount,fees_amount,net_amount,currency_code
TXN00100030,PORT001,INS0030,CP012,2025-11-23,2025-11-25,SELL,43,49.9305,2147.01,2.46,2144.55,USD
TXN00100031,PORT001,INS0028,CP001,2025-04-26,2025-04-28,SELL,27,43.378,1171.21,1.77,1169.44,GBP
TXN00100032,PORT001,INS0012,CP005,2025-06-13,2025-06-15,SELL,354,9.2592,3277.76,5.21,3272.55,EUR
TXN00100033,PORT001,INS0002,CP002,2025-12-06,2025-12-08,SELL,352,38.6218,13594.87,28.17,13566.7,EUR
TXN00100034,PORT001,INS0015,CP011,2025-06-13,2025-06-15,BUY,98,29.585,2899.33,7.62,2891.71,EUR
TXN00100035,PORT001,INS0008,CP003,2025-06-06,2025-06-08,BUY,426,58.5965,24962.11,64.07,24898.04,INR
TXN00100036,PORT001,INS0006,CP004,2025-09-23,2025-09-25,BUY,215,21.8648,4700.93,8.66,4692.27,EUR
TXN00100037,PORT001,INS0040,CP002,2025-05-21,2025-05-23,SELL,463,46.922,21724.89,64.61,21660.28,EUR
TXN00100038,PORT001,INS0043,CP003,2026-02-05,2026-02-07,BUY,336,12.5524,4217.61,8.66,4208.95,EUR
TXN00100039,PORT001,INS0043,CP007,2025-10-07,2025-10-09,BUY,497,12.703,6313.39,13.79,6299.6,INR
TXN00100040,PORT001,INS0046,CP009,2026-02-04,2026-02-06,SELL,27,28.9004,780.31,1.54,778.77,INR
TXN00100041,PORT001,INS0008,CP002,2025-05-11,2025-05-13,SELL,238,58.095,13826.61,29.42,13797.19,INR
TXN00100042,PORT001,INS0047,CP005,2026-04-19,2026-04-21,SELL,89,35.4027,3150.84,2.46,3148.38,INR
TXN00100043,PORT001,INS0046,CP004,2025-08-21,2025-08-23,SELL,236,28.0859,6628.27,18.35,6609.92,GBP
TXN00100044,PORT001,INS0015,CP012,2025-11-01,2025-11-03,SELL,197,25.4419,5012.05,11.38,5000.67,USD
TXN00100045,PORT001,INS0015,CP002,2026-02-24,2026-02-26,BUY,126,27.8568,3509.96,7.46,3502.5,USD
TXN00100046,PORT001,INS0043,CP006,2025-09-10,2025-09-12,SELL,125,12.4051,1550.64,3.77,1546.87,GBP
TXN00100047,PORT001,INS0001,CP001,2025-04-27,2025-04-29,BUY,331,10.5741,3500.03,5.51,3494.52,INR
TXN00100048,PORT001,INS0026,CP012,2026-02-16,2026-02-18,SELL,203,61.5105,12486.63,14.62,12472.01,EUR
TXN00100049,PORT001,INS0028,CP002,2025-10-17,2025-10-19,SELL,260,45.5313,11838.14,24.37,11813.77,INR
TXN00100050,PORT001,INS0037,CP011,2026-03-05,2026-03-07,SELL,310,54.3243,16840.53,37.69,16802.84,INR
TXN00100051,PORT001,INS0045,CP003,2025-07-22,2025-07-24,BUY,355,6.5733,2333.52,1.97,2331.55,USD
TXN00100052,PORT001,INS0015,CP003,2026-01-28,2026-01-30,BUY,219,24.4893,5363.16,9.07,5354.09,INR
TXN00100053,PORT001,INS0006,CP008,2025-07-23,2025-07-25,SELL,262,25.9678,6803.56,9.6,6793.96,EUR
TXN00100054,PORT001,INS0022,CP005,2025-10-03,2025-10-05,BUY,303,46.3218,14035.51,39.58,13995.93,USD
TXN00100055,PORT001,INS0014,CP007,2025-07-16,2025-07-18,BUY,463,12.8629,5955.52,7.71,5947.81,GBP
TXN00100056,PORT001,INS0016,CP005,2026-03-09,2026-03-11,SELL,148,46.9305,6945.71,15.97,6929.74,GBP
TXN00100057,PORT001,INS0008,CP009,2025-10-24,2025-10-26,SELL,104,59.8222,6221.51,13.57,6207.94,USD
TXN00100058,PORT001,INS0007,CP002,2026-02-28,2026-03-02,BUY,228,57.3038,13065.27,33.19,13032.08,INR
TXN00100059,PORT001,INS0017,CP011,2025-11-09,2025-11-11,BUY,50,121.1265,6056.32,9.15,6047.17,USD
TXN00100060,PORT001,INS0050,CP012,2025-08-22,2025-08-24,SELL,72,42.1134,3032.16,3.46,3028.7,USD
TXN00100061,PORT001,INS0021,CP012,2025-09-12,2025-09-14,SELL,169,45.9376,7763.45,14.4,7749.05,INR
TXN00100062,PORT001,INS0023,CP010,2025-09-04,2025-09-06,SELL,64,54.9397,3516.14,10.36,3505.78,GBP
TXN00100063,PORT001,INS0004,CP008,2025-12-28,2025-12-30,SELL,289,53.413,15436.36,40.75,15395.61,INR
TXN00100064,PORT001,INS0010,CP009,2026-02-18,2026-02-20,SELL,264,79.8831,21089.14,21.12,21068.02,GBP
TXN00100065,PORT001,INS0002,CP001,2026-02-16,2026-02-18,SELL,302,31.1723,9414.03,13.56,9400.47,USD
TXN00100066,PORT001,INS0012,CP004,2026-02-04,2026-02-06,SELL,499,9.4861,4733.56,6.97,4726.59,INR
TXN00100067,PORT001,INS0045,CP012,2026-04-02,2026-04-04,BUY,118,8.9883,1060.62,2.71,1057.91,GBP
TXN00100068,PORT001,INS0033,CP004,2025-11-16,2025-11-18,BUY,266,31.8234,8465.02,23.52,8441.5,GBP
TXN00100069,PORT001,INS0048,CP007,2025-09-23,2025-09-25,SELL,194,39.2426,7613.06,10.55,7602.51,GBP
TXN00100070,PORT001,INS0023,CP012,2025-12-30,2026-01-01,SELL,404,52.4484,21189.15,48.74,21140.41,GBP
TXN00100071,PORT001,INS0033,CP008,2026-01-15,2026-01-17,BUY,154,32.0646,4937.95,7.1,4930.85,EUR
TXN00100072,PORT001,INS0049,CP007,2026-04-01,2026-04-03,BUY,220,54.2593,11937.05,20.75,11916.3,GBP
TXN00100073,PORT001,INS0010,CP008,2025-09-01,2025-09-03,BUY,301,59.0002,17759.06,29.33,17729.73,GBP
TXN00100074,PORT001,INS0001,CP003,2025-06-05,2025-06-07,SELL,316,11.6868,3693.03,5.27,3687.76,INR
TXN00100075,PORT001,INS0041,CP008,2025-08-12,2025-08-14,SELL,37,16.1017,595.76,1.27,594.49,INR
TXN00100076,PORT001,INS0015,CP009,2025-12-27,2025-12-29,BUY,390,27.4667,10712.01,15.43,10696.58,INR
TXN00100077,PORT001,INS0001,CP010,2026-01-23,2026-01-25,SELL,118,14.6927,1733.74,3.48,1730.26,INR
TXN00100078,PORT001,INS0022,CP009,2025-10-25,2025-10-27,BUY,203,44.2495,8982.65,20.64,8962.01,GBP
TXN00100079,PORT001,INS0026,CP011,2025-06-06,2025-06-08,BUY,150,46.9623,7044.35,3.9,7040.45,GBP
TXN00100080,PORT001,INS0020,CP010,2026-01-17,2026-01-19,BUY,399,10.4627,4174.62,9.41,4165.21,USD
TXN00100081,PORT001,INS0038,CP004,2026-01-16,2026-01-18,BUY,486,22.2694,10822.93,29.19,10793.74,EUR
TXN00100082,PORT001,INS0040,CP007,2025-06-08,2025-06-10,SELL,481,47.8954,23037.69,51.82,22985.87,INR
TXN00100083,PORT001,INS0045,CP008,2025-10-29,2025-10-31,SELL,241,7.7009,1855.92,1.47,1854.45,USD
TXN00100084,PORT001,INS0002,CP009,2025-12-09,2025-12-11,BUY,185,38.7954,7177.15,4.3,7172.85,EUR
TXN00100085,PORT001,INS0009,CP007,2025-08-03,2025-08-05,SELL,183,32.3969,5928.63,6.09,5922.54,GBP
TXN00100086,PORT001,INS0048,CP001,2025-10-10,2025-10-12,BUY,192,37.4485,7190.11,20.49,7169.62,INR
TXN00100087,PORT001,INS0009,CP005,2025-08-12,2025-08-14,BUY,143,32.0646,4585.24,11.85,4573.39,GBP
TXN00100088,PORT001,INS0025,CP005,2025-06-18,2025-06-20,BUY,109,25.9381,2827.25,6.28,2820.97,GBP
TXN00100089,PORT001,INS0029,CP005,2025-10-24,2025-10-26,SELL,417,21.6741,9038.1,22.9,9015.2,EUR
TXN00100090,PORT001,INS0043,CP012,2026-01-02,2026-01-04,BUY,477,11.6479,5556.05,10.44,5545.61,EUR
TXN00100091,PORT001,INS0002,CP005,2026-03-13,2026-03-15,SELL,87,33.8267,2942.92,7.05,2935.87,GBP
TXN00100092,PORT001,INS0025,CP003,2026-03-05,2026-03-07,SELL,179,23.7101,4244.11,4.37,4239.74,USD
TXN00100093,PORT001,INS0012,CP008,2026-01-17,2026-01-19,BUY,19,9.0864,172.64,0.18,172.46,GBP
TXN00100094,PORT001,INS0002,CP006,2025-09-01,2025-09-03,SELL,27,35.8924,969.09,2.63,966.46,EUR
TXN00100095,PORT001,INS0011,CP003,2025-10-15,2025-10-17,SELL,259,23.1791,6003.39,12.22,5991.17,GBP
TXN00100096,PORT001,INS0015,CP008,2025-05-08,2025-05-10,SELL,100,29.9357,2993.57,6.98,2986.59,USD
TXN00100097,PORT001,INS0016,CP001,2025-11-26,2025-11-28,BUY,447,45.4351,20309.49,45.26,20264.23,INR
TXN00100098,PORT001,INS0020,CP010,2026-01-03,2026-01-05,SELL,110,10.6399,1170.39,1.14,1169.25,EUR
TXN00100099,PORT001,INS0007,CP012,2025-07-03,2025-07-05,BUY,14,41.501,581.01,1.46,579.55,EUR
TXN00100100,PORT001,INS0029,CP010,2026-01-14,2026-01-16,SELL,387,17.602,6811.97,8.27,6803.7,EUR
TXN00100101,PORT001,INS0006,CP007,2026-03-15,2026-03-17,BUY,111,31.1897,3462.06,1.87,3460.19,USD
TXN00100102,PORT001,INS0012,CP002,2025-09-19,2025-09-21,BUY,429,10.0447,4309.18,12.86,4296.32,GBP
TXN00100103,PORT001,INS0010,CP010,2026-02-25,2026-02-27,BUY,276,79.2972,21886.03,62.57,21823.46,USD
TXN00100104,PORT001,INS0035,CP001,2025-11-16,2025-11-18,SELL,84,10.2316,859.45,1.77,857.68,INR
TXN00100105,PORT001,INS0037,CP007,2026-03-03,2026-03-05,BUY,420,55.34,23242.8,47.18,23195.62,USD
TXN00100106,PORT001,INS0049,CP007,2025-12-31,2026-01-02,BUY,496,39.7482,19715.11,42.89,19672.22,USD
TXN00100107,PORT001,INS0015,CP002,2025-06-01,2025-06-03,SELL,167,29.8407,4983.4,3.91,4979.49,GBP
TXN00100108,PORT001,INS0001,CP005,2025-07-23,2025-07-25,SELL,356,11.4901,4090.48,9.57,4080.91,USD
TXN00100109,PORT001,INS0049,CP006,2025-09-03,2025-09-05,SELL,370,30.8696,11421.75,33.87,11387.88,USD
TXN00100110,PORT001,INS0007,CP002,2026-03-03,2026-03-05,BUY,445,57.4626,25570.86,26.44,25544.42,GBP
TXN00100111,PORT001,INS0006,CP010,2025-10-04,2025-10-06,SELL,52,21.3766,1111.58,1.09,1110.49,USD
TXN00100112,PORT001,INS0007,CP003,2026-02-12,2026-02-14,BUY,373,57.8638,21583.2,47.14,21536.06,INR
TXN00100113,PORT001,INS0033,CP010,2025-04-27,2025-04-29,SELL,260,28.0911,7303.69,20.14,7283.55,USD
TXN00100114,PORT001,INS0047,CP010,2025-08-10,2025-08-12,BUY,91,33.8568,3080.97,2.81,3078.16,USD
TXN00100115,PORT001,INS0039,CP008,2025-10-23,2025-10-25,BUY,162,6.4197,1039.99,1.13,1038.86,EUR
TXN00100116,PORT001,INS0028,CP006,2026-02-18,2026-02-20,SELL,147,51.9797,7641.02,19.91,7621.11,GBP
TXN00100117,PORT001,INS0004,CP011,2025-07-26,2025-07-28,BUY,153,37.0698,5671.68,12.23,5659.45,INR
TXN00100118,PORT001,INS0007,CP007,2025-08-12,2025-08-14,BUY,196,45.6074,8939.05,16.76,8922.29,USD
TXN00100119,PORT001,INS0021,CP006,2025-09-11,2025-09-13,SELL,74,45.8924,3396.04,5.15,3390.89,INR
TXN00100120,PORT001,INS0034,CP005,2025-12-08,2025-12-10,SELL,57,58.6245,3341.6,3.85,3337.75,INR
TXN00100121,PORT001,INS0015,CP008,2025-07-25,2025-07-27,BUY,222,26.2087,5818.33,7.88,5810.45,USD
TXN00100122,PORT001,INS0042,CP005,2026-02-14,2026-02-16,BUY,327,49.3056,16122.93,39.3,16083.63,GBP
TXN00100123,PORT001,INS0042,CP007,2026-02-28,2026-03-02,BUY,79,49.3563,3899.15,10.62,3888.53,INR
TXN00100124,PORT001,INS0007,CP002,2026-03-18,2026-03-20,BUY,412,54.676,22526.51,55.67,22470.84,INR
TXN00100125,PORT001,INS0039,CP001,2025-11-06,2025-11-08,BUY,381,6.3639,2424.65,4.81,2419.84,GBP
TXN00100126,PORT001,INS0044,CP001,2026-02-12,2026-02-14,BUY,27,33.2447,897.61,1.07,896.54,EUR
TXN00100127,PORT001,INS0025,CP012,2025-06-28,2025-06-30,SELL,131,24.4214,3199.2,5.95,3193.25,GBP
TXN00100128,PORT001,INS0023,CP002,2025-09-29,2025-10-01,SELL,423,53.4659,22616.08,45.56,22570.52,INR
TXN00100129,PORT001,INS0013,CP008,2026-03-05,2026-03-07,SELL,316,29.3931,9288.22,12.53,9275.69,INR
TXN00100130,PORT001,INS0041,CP008,2025-08-22,2025-08-24,SELL,430,15.3106,6583.56,7.64,6575.92,EUR
TXN00100131,PORT001,INS0038,CP003,2025-10-29,2025-10-31,SELL,179,23.2894,4168.8,10.18,4158.62,GBP
TXN00100132,PORT001,INS0010,CP007,2025-12-20,2025-12-22,BUY,395,71.1525,28105.24,70.33,28034.91,EUR
TXN00100133,PORT001,INS0018,CP010,2025-10-23,2025-10-25,BUY,305,56.3765,17194.83,31.96,17162.87,EUR
TXN00100134,PORT001,INS0036,CP002,2025-11-23,2025-11-25,SELL,176,28.2604,4973.83,12.49,4961.34,EUR
TXN00100135,PORT001,INS0021,CP009,2025-05-11,2025-05-13,SELL,129,49.029,6324.74,7.65,6317.09,EUR
TXN00100136,PORT001,INS0016,CP010,2026-02-10,2026-02-12,BUY,356,47.6187,16952.26,42.36,16909.9,GBP
TXN00100137,PORT001,INS0044,CP006,2025-04-23,2025-04-25,SELL,189,21.9483,4148.23,10.59,4137.64,USD
TXN00100138,PORT001,INS0002,CP001,2026-03-06,2026-03-08,BUY,115,34.2873,3943.04,3.87,3939.17,INR
TXN00100139,PORT001,INS0046,CP007,2025-08-09,2025-08-11,SELL,319,27.3997,8740.5,10.12,8730.38,GBP
TXN00100140,PORT001,INS0029,CP012,2026-04-16,2026-04-18,SELL,48,22.5461,1082.21,3.21,1079.0,EUR
TXN00100141,PORT001,INS0046,CP004,2025-05-10,2025-05-12,BUY,70,27.0305,1892.13,2.7,1889.43,GBP
TXN00100142,PORT001,INS0007,CP012,2025-08-11,2025-08-13,SELL,167,46.6286,7786.98,21.63,7765.35,INR
TXN00100143,PORT001,INS0040,CP008,2025-06-18,2025-06-20,BUY,196,45.6103,8939.62,22.23,8917.39,GBP
TXN00100144,PORT001,INS0010,CP011,2025-09-27,2025-09-29,BUY,227,63.7848,14479.15,36.76,14442.39,USD
TXN00100145,PORT001,INS0048,CP005,2025-11-14,2025-11-16,SELL,112,36.563,4095.06,10.74,4084.32,GBP
TXN00100146,PORT001,INS0031,CP005,2026-01-06,2026-01-08,SELL,232,55.5634,12890.71,19.25,12871.46,INR
TXN00100147,PORT001,INS0034,CP006,2025-11-25,2025-11-27,SELL,358,58.6833,21008.62,25.62,20983.0,INR
TXN00100148,PORT001,INS0048,CP010,2025-06-28,2025-06-30,BUY,219,30.8124,6747.92,10.67,6737.25,USD
TXN00100149,PORT001,INS0014,CP005,2025-09-02,2025-09-04,SELL,137,12.0763,1654.45,3.6,1650.85,EUR
TXN00100150,PORT001,INS0036,CP012,2025-12-15,2025-12-17,BUY,60,26.3729,1582.37,1.58,1580.79,EUR
TXN00200001,PORT002,INS0020,CP002,2025-07-02,2025-07-04,BUY,365,10.0477,3667.41,6.77,3660.64,GBP
TXN00200002,PORT002,INS0029,CP004,2025-08-21,2025-08-23,SELL,41,24.1002,988.11,2.65,985.46,INR
TXN00200003,PORT002,INS0009,CP006,2025-04-21,2025-04-23,BUY,328,27.1759,8913.7,14.14,8899.56,EUR
TXN00200004,PORT002,INS0023,CP004,2025-05-14,2025-05-16,BUY,356,52.1038,18548.95,28.03,18520.92,INR
TXN00200005,PORT002,INS0013,CP008,2025-09-26,2025-09-28,BUY,360,32.1076,11558.74,18.86,11539.88,USD
TXN00200006,PORT002,INS0008,CP005,2026-02-10,2026-02-12,BUY,356,60.7077,21611.94,14.71,21597.23,USD
TXN00200007,PORT002,INS0011,CP008,2026-03-14,2026-03-16,SELL,29,22.6722,657.49,1.82,655.67,EUR
TXN00200008,PORT002,INS0046,CP006,2025-09-13,2025-09-15,BUY,298,28.8499,8597.27,14.92,8582.35,INR
TXN00200009,PORT002,INS0049,CP006,2026-01-17,2026-01-19,SELL,360,39.2868,14143.25,40.9,14102.35,EUR
TXN00200010,PORT002,INS0034,CP002,2025-10-13,2025-10-15,SELL,243,56.2121,13659.54,7.99,13651.55,USD
TXN00200011,PORT002,INS0027,CP012,2026-04-07,2026-04-09,SELL,314,20.7198,6506.02,5.51,6500.51,INR
TXN00200012,PORT002,INS0027,CP004,2025-06-29,2025-07-01,BUY,114,17.4867,1993.48,5.14,1988.34,EUR
TXN00200013,PORT002,INS0006,CP010,2025-08-08,2025-08-10,SELL,378,24.9295,9423.35,15.7,9407.65,EUR
TXN00200014,PORT002,INS0044,CP011,2025-07-13,2025-07-15,BUY,122,23.8293,2907.17,2.26,2904.91,GBP
TXN00200015,PORT002,INS0047,CP002,2025-10-23,2025-10-25,SELL,342,33.3451,11404.02,13.12,11390.9,EUR
TXN00200016,PORT002,INS0002,CP012,2025-05-10,2025-05-12,BUY,235,39.3841,9255.26,12.14,9243.12,INR
TXN00200017,PORT002,INS0008,CP008,2025-06-01,2025-06-03,SELL,484,59.3456,28723.27,28.35,28694.92,INR
TXN00200018,PORT002,INS0006,CP006,2026-01-28,2026-01-30,BUY,488,28.8607,14084.02,10.7,14073.32,USD
TXN00200019,PORT002,INS0007,CP012,2025-07-14,2025-07-16,SELL,117,42.961,5026.44,10.33,5016.11,GBP
TXN00200020,PORT002,INS0012,CP006,2026-02-08,2026-02-10,BUY,215,9.924,2133.66,2.24,2131.42,GBP
TXN00200021,PORT002,INS0020,CP004,2025-12-25,2025-12-27,SELL,268,10.6351,2850.21,7.37,2842.84,INR
TXN00200022,PORT002,INS0029,CP010,2026-03-13,2026-03-15,BUY,381,20.7225,7895.27,12.25,7883.02,GBP
TXN00200023,PORT002,INS0008,CP009,2025-07-09,2025-07-11,SELL,435,62.7486,27295.64,47.43,27248.21,INR
TXN00200024,PORT002,INS0008,CP010,2026-03-14,2026-03-16,BUY,428,56.8494,24331.54,20.15,24311.39,EUR
TXN00200025,PORT002,INS0031,CP005,2025-06-16,2025-06-18,SELL,42,35.5776,1494.26,2.36,1491.9,EUR
TXN00200026,PORT002,INS0013,CP010,2026-02-14,2026-02-16,BUY,180,30.1565,5428.17,15.24,5412.93,INR
TXN00200027,PORT002,INS0026,CP001,2026-03-14,2026-03-16,SELL,400,59.4811,23792.44,19.37,23773.07,GBP
TXN00200028,PORT002,INS0019,CP002,2025-04-24,2025-04-26,SELL,390,17.5507,6844.77,11.73,6833.04,USD
TXN00200029,PORT002,INS0002,CP001,2025-10-22,2025-10-24,SELL,410,43.1313,17683.83,33.96,17649.87,INR
TXN00200030,PORT002,INS0011,CP011,2025-11-15,2025-11-17,BUY,441,22.5622,9949.93,6.97,9942.96,GBP
TXN00200031,PORT002,INS0032,CP003,2026-03-26,2026-03-28,BUY,64,55.5165,3553.06,3.27,3549.79,GBP
TXN00200032,PORT002,INS0030,CP001,2025-11-09,2025-11-11,SELL,108,49.5168,5347.81,9.64,5338.17,INR
TXN00200033,PORT002,INS0010,CP012,2026-04-07,2026-04-09,BUY,43,80.7723,3473.21,2.35,3470.86,INR
TXN00200034,PORT002,INS0029,CP010,2026-03-03,2026-03-05,BUY,40,19.9678,798.71,1.75,796.96,USD
TXN00200035,PORT002,INS0047,CP004,2025-07-25,2025-07-27,SELL,155,34.2109,5302.69,14.16,5288.53,EUR
TXN00200036,PORT002,INS0002,CP012,2026-02-07,2026-02-09,SELL,72,33.0866,2382.24,6.76,2375.48,EUR
TXN00200037,PORT002,INS0040,CP002,2026-02-11,2026-02-13,SELL,114,57.8245,6591.99,3.47,6588.52,USD
TXN00200038,PORT002,INS0007,CP009,2025-10-24,2025-10-26,BUY,479,48.8834,23415.15,45.87,23369.28,EUR
TXN00200039,PORT002,INS0016,CP001,2026-04-19,2026-04-21,SELL,400,44.8447,17937.88,10.51,17927.37,INR
TXN00200040,PORT002,INS0002,CP005,2026-04-18,2026-04-20,SELL,288,33.601,9677.09,11.53,9665.56,EUR
TXN00200041,PORT002,INS0035,CP007,2025-04-28,2025-04-30,BUY,251,10.3291,2592.6,3.32,2589.28,USD
TXN00200042,PORT002,INS0025,CP010,2026-03-12,2026-03-14,BUY,247,23.9474,5915.01,5.87,5909.14,GBP
TXN00200043,PORT002,INS0017,CP012,2026-03-09,2026-03-11,SELL,490,138.5729,67900.72,193.01,67707.71,EUR
TXN00200044,PORT002,INS0016,CP010,2025-05-24,2025-05-26,SELL,41,44.6988,1832.65,1.79,1830.86,INR
TXN00200045,PORT002,INS0045,CP012,2025-12-20,2025-12-22,BUY,431,7.3886,3184.49,3.3,3181.19,USD
TXN00200046,PORT002,INS0035,CP009,2026-01-20,2026-01-22,SELL,468,10.4707,4900.29,11.58,4888.71,EUR
TXN00200047,PORT002,INS0046,CP008,2025-06-18,2025-06-20,BUY,339,27.9557,9476.98,25.72,9451.26,EUR
TXN00200048,PORT002,INS0021,CP011,2025-06-23,2025-06-25,SELL,456,47.0813,21469.07,40.07,21429.0,GBP
TXN00200049,PORT002,INS0039,CP008,2026-02-03,2026-02-05,SELL,154,5.9006,908.69,0.86,907.83,GBP
TXN00200050,PORT002,INS0017,CP003,2025-08-04,2025-08-06,SELL,75,124.618,9346.35,8.38,9337.97,USD
TXN00200051,PORT002,INS0012,CP010,2025-05-13,2025-05-15,BUY,86,10.0412,863.54,1.63,861.91,GBP
TXN00200052,PORT002,INS0048,CP002,2025-12-21,2025-12-23,BUY,205,35.2719,7230.74,5.37,7225.37,USD
TXN00200053,PORT002,INS0030,CP010,2026-04-09,2026-04-11,SELL,112,48.0224,5378.51,10.87,5367.64,EUR
TXN00200054,PORT002,INS0032,CP002,2025-06-14,2025-06-16,SELL,292,61.6724,18008.34,11.26,17997.08,GBP
TXN00200055,PORT002,INS0044,CP006,2025-06-29,2025-07-01,SELL,96,23.7497,2279.97,6.53,2273.44,INR
TXN00200056,PORT002,INS0019,CP009,2025-05-14,2025-05-16,BUY,103,19.3927,1997.45,3.0,1994.45,EUR
TXN00200057,PORT002,INS0048,CP009,2026-02-09,2026-02-11,BUY,39,34.3881,1341.14,2.94,1338.2,EUR
TXN00200058,PORT002,INS0034,CP005,2025-05-04,2025-05-06,SELL,419,44.5939,18684.84,12.01,18672.83,EUR
TXN00200059,PORT002,INS0039,CP009,2025-06-24,2025-06-26,SELL,117,6.1818,723.27,0.68,722.59,EUR
TXN00200060,PORT002,INS0050,CP010,2025-09-04,2025-09-06,BUY,50,45.899,2294.95,5.17,2289.78,INR
TXN00200061,PORT002,INS0017,CP012,2025-08-08,2025-08-10,BUY,59,128.9437,7607.68,16.73,7590.95,INR
TXN00200062,PORT002,INS0007,CP009,2026-03-12,2026-03-14,BUY,312,54.9945,17158.28,49.11,17109.17,EUR
TXN00200063,PORT002,INS0001,CP012,2025-11-06,2025-11-08,SELL,126,12.9903,1636.78,4.8,1631.98,INR
TXN00200064,PORT002,INS0024,CP005,2025-04-24,2025-04-26,SELL,98,59.514,5832.37,4.42,5827.95,INR
TXN00200065,PORT002,INS0035,CP009,2026-02-11,2026-02-13,BUY,131,11.2129,1468.89,4.33,1464.56,USD
TXN00200066,PORT002,INS0032,CP010,2025-06-04,2025-06-06,BUY,194,60.3486,11707.63,29.12,11678.51,EUR
TXN00200067,PORT002,INS0004,CP004,2025-11-23,2025-11-25,BUY,140,46.5131,6511.83,9.58,6502.25,GBP
TXN00200068,PORT002,INS0013,CP010,2025-06-13,2025-06-15,SELL,360,31.9811,11513.2,32.9,11480.3,EUR
